series_id,series_name,desc,tags,work_id_list,co_operators
4e1560c3,鲛,纯情鲛人x傲娇人族,#B站小剧场#TF白麝香枕边白昼礼盒#TF白麝香香水#TF礼物#原创#古风#自制,"61ee2b02,75311ee2",锦超
0ca87504,答案之书红色芍药篇,小狼崽弟弟x美艳钓系姐姐,#B站小剧场#CP#原创#爱情#短片#自制,"51f1ae62,80f3f79a,74cec809,57cd321d,db837639",锦超
